0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10,0,0,0,0,0,1,2,3,0,1,2,3,3,3,3,0,0,0,0,0,1,2,3,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
0,10,10,10,0,1,2,3,3,3,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
10,20,20,20,10,11,12,13,13,13,10,10,10,10,10,10,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,1,2,3
20,30,30,30,20,21,22,23,23,23,20,20,20,20,20,20,30,30,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,1,2,3,3
30,30,31,32,30,31,32,33,33,33,30,30,30,30,30,30,30,31,32,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,1,2,3,3,3,13
30,31,32,33,13,10,10,10,10,10,10,10,0,0,30,30,30,30,30,30,20,20,20,20,20,20,10,10,10,10,0,1,2,0,1,2,3,13,13,23
30,31,32,33,23,20,20,20,20,20,20,20,10,10,10,10,10,10,10,10,30,30,30,30,30,30,20,0,0,0,1,2,3,0,1,0,0,1,2,3
31,32,33,33,33,2,3,30,30,30,30,30,20,20,20,20,20,20,20,20,20,20,20,20,30,31,30,10,10,0,0,1,2,0,0,10,0,1,2,3
31,32,33,32,33,2,3,33,33,33,3,2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,20,20,10,0,1,2,0,10,20,0,1,2,3
31,32,33,32,33,2,3,31,32,33,13,1,2,3,23,23,33,33,33,33,33,33,33,33,33,33,23,30,30,20,0,1,2,10,20,30,0,1,2,3
0,30,31,32,33,1,2,3,32,33,23,1,2,3,33,33,10,20,20,20,10,10,4,5,5,5,6,33,23,30,0,1,2,20,30,30,0,1,2,3
10,30,31,32,33,1,2,3,31,32,33,1,2,3,20,20,20,30,30,30,20,20,14,7,8,9,16,33,33,21,0,1,2,0,1,2,3,3,2,3
0,30,31,32,33,1,2,3,31,32,33,3,2,3,30,30,30,30,31,32,30,30,14,17,0,19,16,0,33,31,0,1,2,0,1,2,3,3,3,3
0,30,31,32,33,1,2,3,31,32,33,13,3,3,4,5,5,5,5,5,5,5,29,27,28,29,16,10,30,31,0,1,2,0,1,2,3,13,13,3
0,30,31,32,33,1,2,3,31,32,33,23,3,13,14,15,15,15,15,15,15,15,15,15,15,15,16,20,30,31,0,1,2,0,1,2,3,23,23,13
10,30,31,32,33,1,2,3,31,32,33,33,13,23,24,25,25,25,25,25,25,25,25,25,25,25,26,0,30,31,0,1,2,0,1,2,3,33,33,23
20,30,31,32,33,0,0,1,2,3,32,33,23,33,0,0,0,0,0,1,10,10,10,10,10,11,12,13,30,31,0,1,2,0,1,2,3,32,33,33
30,30,31,32,33,10,0,0,0,0,1,2,3,3,10,10,10,10,10,11,20,20,20,20,20,21,22,23,30,31,0,1,2,0,0,1,0,0,1,2
30,31,32,33,23,20,10,10,0,1,2,3,3,13,20,20,20,20,20,21,30,30,30,30,30,31,32,33,30,0,1,2,3,10,0,0,10,0,1,2
30,31,32,33,33,30,0,1,2,3,3,3,13,23,0,1,2,3,3,3,3,3,3,0,0,0,1,2,30,0,1,2,3,20,0,10,0,1,2,3
30,31,32,33,33,2,3,3,3,3,13,13,23,33,3,3,3,3,3,3,3,13,13,3,3,3,3,3,3,3,3,3,3,0,1,2,3,1,2,3
31,32,33,33,33,3,13,13,13,13,23,23,33,13,13,13,13,13,13,13,13,23,23,13,13,13,13,13,13,13,13,13,13,0,1,2,3,3,2,3
31,32,33,32,33,13,3,23,23,23,33,33,23,23,23,23,23,0,1,2,3,3,3,23,23,23,23,23,23,23,23,23,0,1,2,3,3,13,2,3
10,30,31,32,33,23,13,1,2,3,1,2,3,1,2,3,1,2,3,3,3,13,13,3,3,3,3,3,3,1,2,3,3,3,3,3,13,23,2,3
20,30,31,32,33,33,23,3,3,3,3,3,3,3,3,3,3,1,2,3,13,23,23,13,13,3,3,13,13,0,1,2,3,13,3,13,23,33,2,3
30,30,30,31,32,33,33,3,3,13,13,3,13,3,13,13,13,3,3,3,23,33,33,23,23,13,13,23,23,3,3,2,3,23,13,23,33,33,3,3
30,31,32,33,13,13,13,13,13,23,23,13,23,13,23,23,23,13,13,13,33,32,33,33,33,23,23,33,33,13,13,3,3,33,23,33,33,13,13,13
30,31,32,33,23,23,23,23,23,33,33,23,33,23,33,33,33,23,23,23,20,30,31,32,33,33,33,32,33,23,23,13,13,33,33,32,33,23,23,23
31,32,33,33,33,33,33,33,33,32,33,33,33,33,31,32,33,33,33,33,30,30,30,31,32,33,31,32,33,33,33,23,23,31,32,33,33,33,33,33
